Coin;Date & Time (of the trade, not the day you tested);Direction DON'T WRITE HERE;Entry;Stop Loss;Exit;Returns DON'T WRITE HERE;Win / Loss DON'T WIRTE HERE;Total R;Avg. R;;;;;;;;;;;;;;;;;
ETH;06.8.23 22:20;Long; $1 839,60 ; $1 837,30 ; $1 837,30 ;-1;Loss;;;;;;;;;;;;;;;;;;;
ETH;07.8.23 11:05;Short; $1 823,20 ; $1 827,80 ; $1 814,00 ;2;Win;;;;;;;;;;;;;;;;;;;
ETH;07.8.23 17:20;Long; $1 828,30 ; $1 824,00 ; $1 824,00 ;-1;Loss;;;;;;;;;;;;;;;;;;;
ETH;08.8.23 12:35;Long; $1 852,10 ; $1 843,60 ; $1 869,10 ;2;Win;;;;;;;;;;;;;;;;;;;
ETH;08.8.23 17:20;Long; $1 870,70 ; $1 860,40 ; $1 860,40 ;-1;Loss;;;;;;;;;;;;;;;;;;;
ETH;08.8.23 22:55;Short; $1 852,90 ; $1 855,10 ; $1 853,20 ;-0,136363636;Loss;;;;;;;;;;;;;;;;;;;
ETH;09.8.23 11:05;Short; $1 854,90 ; $1 861,00 ; $1 851,50 ;0,557377049;Win;;;;;;;;;;;;;;;;;;;
ETH;10.8.23 22:55;Short; $1 842,80 ; $1 848,60 ; $1 845,00 ;-0,379310345;Loss;;;;;;;;;;;;;;;;;;;
ETH;11.8.23 12:40;Short; $1 838,60 ; $1 845,60 ; $1 845,60 ;-1;Loss;;;;;;;;;;;;;;;;;;;
ETH;12.8.23 15:25;Short; $1 846,60 ; $1 848,40 ; $1 848,40 ;-1;Loss;;;;;;;;;;;;;;;;;;;
ETH;12.8.23 17:50;Long; $1 848,80 ; $1 846,30 ; $1 848,50 ;-0,12;Loss;;;;;;;;;;;;;;;;;;;
ETH;13.8.23 10:05;Short; $1 846,20 ; $1 847,70 ; $1 843,20 ;2;Win;;;;;;;;;;;;;;;;;;;
ETH;13.8.23 14:40;Long; $1 852,20 ; $1 849,80 ; $1 857,00 ;2;Win;;;;;;;;;;;;;;;;;;;
ETH;13.8.23 17:10;Short; $1 852,40 ; $1 853,40 ; $1 850,40 ;2;Win;;;;;;;;;;;;;;;;;;;
ETH;13.8.23 18:10;Short; $1 844,10 ; $1 847,00 ; $1 838,30 ;2;Win;;;;;;;;;;;;;;;;;;;
ETH;13.8.23 22:10;Short; $1 835,40 ; $1 839,90 ; $1 839,90 ;-1;Loss;;;;;;;;;;;;;;;;;;;
ETH;14.8.23 10:10;Long; $1 846,40 ; $1 843,30 ; $1 852,60 ;2;Win;;;;;;;;;;;;;;;;;;;
ETH;14.8.23 15:00;Short; $1 840,50 ; $1 841,40 ; $1 841,40 ;-1;Loss;;;;;;;;;;;;;;;;;;;
ETH;14.8.23 16:00;Short; $1 839,60 ; $1 841,60 ; $1 841,60 ;-1;Loss;;;;;;;;;;;;;;;;;;;
ETH;14.8.23 17:00;Long; $1 843,50 ; $1 843,00 ; $1 844,50 ;2;Win;;;;;;;;;;;;;;;;;;;
ETH;14.8.23 17:35;Long; $1 843,90 ; $1 843,00 ; $1 845,70 ;2;Win;;;;;;;;;;;;;;;;;;;
ETH;14.8.23 22::20;Short; $1 842,90 ; $1 843,40 ; $1 841,90 ;2;Win;;;;;;;;;;;;;;;;;;;
ETH;15.8.23 11:15;Short; $1 838,30 ; $1 841,70 ; $1 831,50 ;2;Win;;;;;;;;;;;;;;;;;;;
ETH;15.8.23 16:15;Long; $1 828,40 ; $1 823,00 ; $1 826,80 ;-0,296296296;Loss;;;;;;;;;;;;;;;;;;;
ETH;16.8.23 12:05;Short; $1 816,80 ; $1 820,20 ; $1 820,20 ;-1;Loss;;;;;;;;;;;;;;;;;;;
ETH;16.8.23 13:20;Long; $1 820,70 ; $1 818,40 ; $1 825,30 ;2;Win;;;;;;;;;;;;;;;;;;;
ETH;16.8.23 16:25;Short; $1 805,40 ; $1 821,10 ; $1 796,50 ;0,566878981;Win;;;;;;;;;;;;;;;;;;;
